code,venue_count,categories,in_ap_continent,in_base_prices,in_airport_city,continent,city
KHH,3,"diving,fishing,tanning",NO,NO,YES,MISSING,Kaohsiung
VAV,3,"diving,kayak,tanning",NO,NO,NO,MISSING,MISSING
SON,3,"diving,tanning",YES,NO,NO,oceania,MISSING
SOQ,3,"diving,fishing",NO,NO,NO,MISSING,MISSING
BVC,3,"diving,kite",NO,NO,NO,MISSING,MISSING
OKA,3,"diving,kayak,kite",NO,NO,NO,MISSING,MISSING
GPS,3,"diving,fishing,kayak",NO,NO,NO,MISSING,MISSING
MDC,3,diving,NO,NO,NO,MISSING,MISSING
RMF,3,diving,NO,NO,NO,MISSING,MISSING
BQN,3,"diving,surfing",NO,NO,NO,MISSING,MISSING
KOI,3,"diving,fishing,kayak",NO,NO,NO,MISSING,MISSING
LEA,3,"diving,fishing,kite",NO,NO,NO,MISSING,MISSING
AGX,3,"diving,kayak",NO,NO,NO,MISSING,MISSING
SIT,3,"diving,fishing,kayak",NO,NO,NO,MISSING,MISSING
RGI,3,"diving,tanning",NO,NO,NO,MISSING,MISSING
MJK,3,"diving,kayak,kite",NO,NO,NO,MISSING,MISSING
LAS,3,"climbing,kite,mtb",YES,YES,YES,na,Las Vegas
SVJ,3,"climbing,kayak",NO,NO,NO,MISSING,MISSING
ZAD,3,"climbing,hiking,kite",NO,NO,NO,MISSING,MISSING
CLT,3,climbing,NO,NO,YES,MISSING,Charlotte
TRS,3,"climbing,kayak,paraglide",NO,NO,NO,MISSING,MISSING
KGS,3,"climbing,kite",NO,NO,NO,MISSING,MISSING
LBA,3,"climbing,hiking",NO,NO,NO,MISSING,MISSING
BNE,3,"climbing,paraglide",NO,NO,NO,MISSING,MISSING
LYS,3,"climbing,hiking,kayak",NO,NO,NO,MISSING,MISSING
REU,3,"climbing,paraglide",NO,NO,NO,MISSING,MISSING
BWI,3,"climbing,fishing,kayak",NO,NO,NO,MISSING,MISSING
CRP,3,"fishing,kite",NO,NO,NO,MISSING,MISSING
MPL,3,kite,NO,NO,NO,MISSING,MISSING
POP,3,"kite,surfing",NO,NO,NO,MISSING,MISSING
NBO,3,"hiking,paraglide",NO,NO,NO,MISSING,MISSING
TSR,3,hiking,NO,NO,NO,MISSING,MISSING
PRG,3,"hiking,mtb",NO,NO,NO,MISSING,MISSING
AQP,3,"hiking,mtb,paraglide",YES,NO,NO,latam,MISSING
JOE,3,"fishing,hiking,kayak",NO,NO,NO,MISSING,MISSING
FAE,3,"fishing,hiking,paraglide",YES,NO,NO,europe,MISSING
HPH,3,kayak,NO,NO,NO,MISSING,MISSING
DLH,3,kayak,NO,NO,NO,MISSING,MISSING
VLI,3,"fishing,kayak,paraglide",NO,NO,YES,MISSING,Port Vila
LYR,3,"fishing,kayak,paraglide",NO,NO,NO,MISSING,MISSING
MAO,3,"fishing,kayak",NO,NO,YES,MISSING,Manaus
LLW,3,"kayak,tanning",NO,NO,NO,MISSING,MISSING
WKA,3,"kayak,mtb",NO,NO,NO,MISSING,MISSING
CCP,3,"fishing,skiing",NO,NO,NO,MISSING,MISSING
GUA,3,"fishing,paraglide",NO,NO,NO,MISSING,MISSING
VRC,3,surfing,NO,NO,NO,MISSING,MISSING
GIS,3,surfing,NO,NO,YES,MISSING,Gisborne
TYL,3,surfing,NO,NO,NO,MISSING,MISSING
AXT,3,skiing,NO,NO,NO,MISSING,MISSING
YKF,3,skiing,NO,NO,NO,MISSING,MISSING
SDJ,3,skiing,NO,NO,NO,MISSING,MISSING
TPN,3,tanning,NO,NO,NO,MISSING,MISSING
TPS,3,tanning,NO,NO,NO,MISSING,MISSING
JSI,3,tanning,NO,NO,NO,MISSING,MISSING
GZP,3,tanning,NO,NO,NO,MISSING,MISSING
BDS,3,tanning,NO,NO,NO,MISSING,MISSING
TST,3,tanning,NO,NO,NO,MISSING,MISSING
PQQ,3,tanning,NO,NO,NO,MISSING,MISSING
LME,3,tanning,NO,NO,NO,MISSING,MISSING
TDX,3,tanning,NO,NO,NO,MISSING,MISSING
LMP,3,tanning,NO,NO,NO,MISSING,MISSING
CRW,2,"climbing,skiing",YES,NO,YES,na,Charleston
OAX,2,"mtb,surfing",YES,NO,YES,na,Oaxaca
BOC,2,tanning,YES,NO,YES,na,Bocas del Toro
MLO,2,"kayak,tanning",YES,NO,NO,europe,MISSING
BME,2,tanning,YES,NO,NO,oceania,MISSING
JRO,2,hiking,YES,NO,NO,africa,MISSING
SCQ,2,"hiking,kayak",YES,NO,NO,europe,MISSING
FMM,2,"paraglide,skiing",NO,NO,NO,MISSING,MISSING
MHU,2,skiing,NO,NO,NO,MISSING,MISSING
NPL,2,"hiking,skiing",NO,NO,NO,MISSING,MISSING
YMX,2,"fishing,skiing",NO,NO,NO,MISSING,MISSING
SMF,2,"mtb,skiing",NO,NO,YES,MISSING,Sacramento
HOU,2,"fishing,surfing",NO,NO,NO,MISSING,MISSING
LSY,2,surfing,NO,NO,NO,MISSING,MISSING
XRY,2,"surfing,tanning",NO,NO,NO,MISSING,MISSING
GRJ,2,"fishing,surfing",NO,NO,NO,MISSING,MISSING
